Date,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,TCS.NS,WIPRO.NS
2020-01-01,605.5293579101562,1749.931396484375,519.1380004882812,633.151123046875,333.4170837402344,6945.33544921875,85.37137603759766,672.2161254882812,1841.1497802734375,113.70918273925781
2020-01-02,609.38916015625,1751.286865234375,522.861572265625,631.3036499023438,332.91912841796875,6962.5751953125,85.77330017089844,683.6602172851562,1832.6981201171875,113.98461151123047
2020-01-03,600.6987915039062,1741.7083740234375,521.1690063476562,641.0133666992188,330.0411682128906,6890.763671875,86.0412368774414,684.4840087890625,1869.2216796875,115.27000427246094
2020-01-06,587.6988525390625,1730.864501953125,508.4505310058594,634.8696899414062,329.13494873046875,6689.52880859375,84.56757354736328,668.6093139648438,1869.0523681640625,115.75199127197266
2020-01-07,597.0047607421875,1735.608642578125,505.742431640625,625.460693359375,332.77972412109375,6719.166015625,84.232666015625,678.8956909179688,1873.6387939453125,117.1521224975586
2020-01-08,595.4419555664062,1743.4251708984375,508.6923828125,617.1258544921875,329.593017578125,6682.689453125,82.69202423095703,673.7970581054688,1915.5989990234375,116.968505859375
2020-01-09,602.1195678710938,1748.575927734375,528.3745727539062,625.1600341796875,331.6245422363281,6865.73388671875,82.85948181152344,689.3154296875,1880.8594970703125,116.44058990478516
2020-01-10,607.4710083007812,1765.7000732421875,522.5231323242188,634.2681884765625,335.5381774902344,6963.19287109375,83.16091918945312,689.1595458984375,1880.1795654296875,115.56837463378906
2020-01-13,609.0338745117188,1802.6131591796875,520.9271850585938,664.6863403320312,336.8128967285156,6984.28076171875,84.03170013427734,687.4007568359375,1860.47314453125,116.968505859375
2020-01-14,610.6914672851562,1815.218994140625,519.9600219726562,666.49072265625,333.96478271484375,7016.67138671875,83.76377868652344,681.0330810546875,1874.5311279296875,118.07025909423828
2020-01-15,608.2052001953125,1826.8309326171875,518.025634765625,659.5305786132812,333.72576904296875,7108.00439453125,83.49584197998047,678.5617065429688,1891.518798828125,113.961669921875
2020-01-16,609.8153686523438,1851.7708740234375,519.5248413085938,659.0579223632812,338.89422607421875,7088.72119140625,83.39534759521484,684.8179931640625,1901.626708984375,114.97160339355469
2020-01-17,605.3162841796875,1861.756103515625,514.5921630859375,659.788330078125,338.20703125,7143.34033203125,83.99822235107422,704.01025390625,1884.8931884765625,115.27000427246094
2020-01-20,594.3053588867188,1864.060302734375,517.30029296875,660.3038940429688,322.2337341308594,7076.32568359375,82.32359313964844,682.3466796875,1843.4859619140625,113.84689331054688
2020-01-21,589.3089599609375,1857.327880859375,513.6248779296875,655.1913452148438,323.66778564453125,6936.73828125,82.22313690185547,683.036865234375,1844.0799560546875,113.43375396728516
2020-01-22,587.6514282226562,1853.98486328125,505.6940002441406,661.8076782226562,315.78076171875,6778.05859375,77.96963500976562,682.7919311523438,1874.5311279296875,112.85992431640625
2020-01-23,589.5457153320312,1858.68359375,510.3848876953125,673.96630859375,319.8338317871094,6788.982421875,78.90740966796875,679.8975219726562,1865.209228515625,114.16825103759766
2020-01-24,589.4036865234375,1873.8646240234375,516.3330078125,672.5914916992188,327.2229309082031,6771.26708984375,79.27582550048828,677.5374755859375,1858.781494140625,114.1221694946289
2020-01-27,574.5567016601562,1862.704833984375,519.6214599609375,668.595947265625,322.3234558105469,6790.59716796875,78.53898620605469,670.8580322265625,1846.7352294921875,113.0851058959961
