Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
2020-01-01,605.5293579101562,519.137939453125,633.151123046875,672.216064453125,1841.1494140625
2020-01-02,609.38916015625,522.861572265625,631.3036499023438,683.6602783203125,1832.6981201171875
2020-01-03,600.6987915039062,521.1690063476562,641.013427734375,684.4840087890625,1869.2222900390625
2020-01-06,587.6988525390625,508.4505920410156,634.8696899414062,668.6092529296875,1869.05224609375
2020-01-07,597.0048217773438,505.7424011230469,625.460693359375,678.8956909179688,1873.6387939453125
2020-01-08,595.4419555664062,508.69232177734375,617.1258544921875,673.7969970703125,1915.5989990234375
2020-01-09,602.1195068359375,528.37451171875,625.1597900390625,689.3154907226562,1880.8585205078125
2020-01-10,607.4710083007812,522.5230712890625,634.2682495117188,689.1596069335938,1880.179443359375
2020-01-13,609.033935546875,520.9271850585938,664.6863403320312,687.4006958007812,1860.4735107421875
2020-01-14,610.6914672851562,519.9600219726562,666.49072265625,681.0330810546875,1874.5308837890625
2020-01-15,608.2051391601562,518.0256958007812,659.5305786132812,678.5616455078125,1891.5181884765625
2020-01-16,609.8153686523438,519.5247802734375,659.0580444335938,684.8179321289062,1901.6268310546875
2020-01-17,605.3162841796875,514.5921020507812,659.7884521484375,704.0101928710938,1884.893798828125
2020-01-20,594.3052978515625,517.3001708984375,660.303955078125,682.3465576171875,1843.4852294921875
2020-01-21,589.3090209960938,513.625,655.19140625,683.0368041992188,1844.0802001953125
2020-01-22,587.6514892578125,505.6939697265625,661.8077392578125,682.7919311523438,1874.5308837890625
2020-01-23,589.5457763671875,510.3849182128906,673.9662475585938,679.8976440429688,1865.2091064453125
2020-01-24,589.4036865234375,516.3330078125,672.591552734375,677.5375366210938,1858.781005859375
2020-01-27,574.556640625,519.6214599609375,668.5958251953125,670.8580322265625,1846.7352294921875
2020-01-28,579.2926025390625,510.8684997558594,668.510009765625,655.3617553710938,1859.0791015625
2020-01-29,585.2835693359375,509.3209228515625,678.5635375976562,658.9686889648438,1834.2635498046875
2020-01-30,580.6423950195312,514.7372436523438,670.8299560546875,642.8934936523438,1820.00341796875
