Date,Tickers,Close
2020-01-01,HDFCBANK.NS,605.5293579101562
2020-01-02,HDFCBANK.NS,609.38916015625
2020-01-03,HDFCBANK.NS,600.6987915039062
2020-01-06,HDFCBANK.NS,587.6988525390625
2020-01-07,HDFCBANK.NS,597.0047607421875
2020-01-08,HDFCBANK.NS,595.4419555664062
2020-01-09,HDFCBANK.NS,602.1195678710938
2020-01-10,HDFCBANK.NS,607.4710083007812
2020-01-13,HDFCBANK.NS,609.0338745117188
2020-01-14,HDFCBANK.NS,610.6914672851562
2020-01-15,HDFCBANK.NS,608.2052001953125
2020-01-16,HDFCBANK.NS,609.8153686523438
2020-01-17,HDFCBANK.NS,605.3162841796875
2020-01-20,HDFCBANK.NS,594.3053588867188
2020-01-21,HDFCBANK.NS,589.3089599609375
2020-01-22,HDFCBANK.NS,587.6514282226562
2020-01-23,HDFCBANK.NS,589.5457153320312
2020-01-24,HDFCBANK.NS,589.4036865234375
2020-01-27,HDFCBANK.NS,574.5567016601562
2020-01-28,HDFCBANK.NS,579.2925415039062
2020-01-29,HDFCBANK.NS,585.283447265625
2020-01-30,HDFCBANK.NS,580.6423950195312
2020-01-31,HDFCBANK.NS,580.7607421875
2020-02-03,HDFCBANK.NS,564.8955688476562
2020-02-04,HDFCBANK.NS,582.4182739257812
2020-02-05,HDFCBANK.NS,589.451171875
2020-02-06,HDFCBANK.NS,587.1542358398438
2020-02-07,HDFCBANK.NS,588.290771484375
2020-02-10,HDFCBANK.NS,587.3909912109375
2020-02-11,HDFCBANK.NS,587.5330810546875
2020-02-12,HDFCBANK.NS,591.5111694335938
2020-02-13,HDFCBANK.NS,587.9119262695312
2020-02-14,HDFCBANK.NS,577.46923828125
2020-02-17,HDFCBANK.NS,576.4273681640625
2020-02-18,HDFCBANK.NS,574.5803833007812
2020-02-19,HDFCBANK.NS,581.18701171875
2020-02-20,HDFCBANK.NS,576.4037475585938
2020-02-24,HDFCBANK.NS,573.017578125
2020-02-25,HDFCBANK.NS,568.4474487304688
2020-02-26,HDFCBANK.NS,567.9501953125
2020-02-27,HDFCBANK.NS,568.0448608398438
2020-02-28,HDFCBANK.NS,557.720703125
2020-03-02,HDFCBANK.NS,558.6441650390625
2020-03-03,HDFCBANK.NS,559.6862182617188
2020-03-04,HDFCBANK.NS,544.081298828125
2020-03-05,HDFCBANK.NS,545.2653198242188
2020-03-06,HDFCBANK.NS,537.474853515625
2020-03-09,HDFCBANK.NS,524.40380859375
2020-03-11,HDFCBANK.NS,527.4821166992188
2020-03-12,HDFCBANK.NS,483.67523193359375
2020-03-13,HDFCBANK.NS,506.644287109375
2020-03-16,HDFCBANK.NS,473.35101318359375
2020-03-17,HDFCBANK.NS,461.79547119140625
2020-03-18,HDFCBANK.NS,415.2891845703125
2020-03-19,HDFCBANK.NS,424.1215515136719
2020-03-20,HDFCBANK.NS,418.10699462890625
